reviewId,content,score
e57cf92f-b3f1-4a26-bfe1-b704a90bc494,Good app,5
1d59b437-6faf-4a1c-a88f-8337158d298f,good but addictive and also time consuming..best for timepass and communication,1
1c9c5fa7-3752-439e-a08e-6a947d1dbfeb,faltu,1
df3e2144-1cc5-462f-9720-9ae82f80a4bd,So enjoyful,4
08ee7a8f-8ea6-4269-b2a0-ba30f4c309be,Bugs and glitches,1
4981ac85-4994-4d29-bfec-8e13ca8fe03b,good,5
a3e818b0-91f2-453e-a279-1bb7e0c48ab2,best,5
2026b4b8-59cd-44b9-9e2f-828e2d6c789f,Good,5
64fe0433-2d27-47c4-8435-eff29ff1de4f,"This app is great for seeing ads and political propaganda but not for connecting with friends, family, and being useful utility. Ps why is the layout ui on mobile and web so terrible? Hard to find anything. And why is every ad for alcohol? They need to break this platform up. Why does the app suck so much but the ads work all the time and show up every 3 posts? Hate this app. Terrible. Ads. Fk u evil. Surprised this app isn't flagged as Spyware. Loser ceo can't even get a space program. Fu zucke",1
0104faa8-c70d-4580-842a-140975d24625,excellent,5
8929b118-1e70-4ed0-af90-3aceebb8ac85,🤗🤗🤗 Can you use this app to delete message,5
e06a080b-d56e-491f-a0f4-c9a1e1e0a72b,एएअ२एऐएए१एएअअऑ१एअ२२२1औए,3
a9ac3cea-b31f-4198-bfcd-5c91e1a8761e,I can not say in English I say In hindi ok Mera dusra account hack hone ke bad waps ni ata facebook walo mera account dilao Ussme bahot paisa hai dusra account do mera,5
b05e891f-f78b-4c47-b4b1-a2f76a6c2a12,fb is excellent communication to meet the world here is nice security system to protect over mobile data's and pravicy,5
d6a056be-74d5-45b5-9a36-e4a0c097835b,RANAAhmed,5
e8965ed5-789c-4d74-a098-bdf3cfb5ec8a,part of life,5
8b75419e-3e4f-477d-9b00-f14496b83b85,BRIAN SHIPMAN owner,5
4090a6eb-6c7d-4aed-8027-cdbe654e142c,good,5
0218fe17-1e4e-44e8-a5e5-8fc1fa5a5abe,👍,3
e573498a-98e1-48bb-9f1f-5a8edbef5d7a,Good,5
301eeff0-988b-41f9-8838-eef4313a3ad2,good 👍,1
6eda79ce-6984-4fc1-8889-5a02b7cc33cd,M.KARTHIKEYAN,5
da35cadd-45f4-4117-8b71-afb6f842a372,nice App 👌,5
4aae8588-72c9-4262-9786-2a2063a79bf7,Jitendra Kumar,3
3a53947f-08f2-4576-874e-a2b84f33f73c,Good app control your bad video Facebook communities,5
7f4609e3-c937-4fd4-bc1c-9486979f1f7c,❤️🤍,5
989e3c99-1cb8-4a15-95de-e16af47295b3,bom,5
f6d88b99-b531-4cd3-8c2f-56d58fc6dd0a,keep going..,4
b6038d4b-8dc9-4115-ad5f-5f7298e8b352,Good f,5
ba942348-be6c-4c77-b631-78cbb6bc4f2f,Jean p bagual,5
8668e327-92c9-4349-b2fc-68ba71ed00cd,"Worst of the worst. Horrible app, nobody tells you that Mark Zuckerberg forces his employees into sexual favors to keep their jobs.",1
61393a59-8e35-4907-a089-69e4dc7d4171,Pankaj 420,1
6ce2e12a-25af-4533-a24a-93b3820edd88,good,5
3c9370d7-f377-4054-be92-12ee17db2556,you make it too hard to keep your corporation from using our information to power your AI.,1
5a1ac26c-5607-4724-8e0b-538a3758e2ac,os!awl3,4
21f082a9-f7ea-4407-bc96-93deaabf308e,Nice App 😊✨❤️,5
49a6575e-c3bd-4cf9-976d-834197c56029,Ariful Islam,5
d60b75fb-8be7-4728-b0bf-4c7515c8e16b,Not interested,5
047a8b61-8898-4d3f-9718-728385e824f7,Time loss app,1
88c93d9f-a66b-44f5-9401-2c7be0afcb58,Nice 👍 hard working,5
e233e603-adc7-4c7c-8000-0b76c4d4f404,allows too much to be released and keeps to much information and shares my personal info without my knowledge!,1
a11eaa3e-311c-4e64-b85e-42b57af9870c,MP. lI'mMN. p p by,4
cb79c8dd-39f9-4f28-81e1-7f2e6aa0dd60,Very interesting,5
b1ead560-76f0-4b3a-a59e-b39728aa3930,Mantu kshatriya Facebook YouTube intargame WhatsApp,5
f7195ffc-a6ae-4635-8599-4980bfdfc931,Its glitching i cant watch the video that i want to watch.its worst,1
a0bfff80-5def-4c7d-a3df-a0b47b8df5dd,Facebook? ❌️ Ad Hub ? ✅️,1
303bc38f-5fb4-4618-b17f-403851e94c70,Pawankumar,5
64d0873f-78f2-41f8-a11b-4293342be165,so sad,2
2387e31e-7f1f-4955-8973-4ddc3b7d9945,Everyday I'm missing important posts from groups and friends because of the recommended content from outside my network.,1
d926fbd8-7a33-4a9f-96b2-f478e7326822,Facebook noobbbbbb,1
0fb83a67-eba1-4ea5-8301-481f4c9e2774,Facebook is awesome but consumes data the ads are too much we should be informed before playing videos,5
06677acf-461c-40ef-b816-0645932b1996,खव्क़्ज़चहव्क्क्ष्च्ं,5
7aff7ac5-375e-4c4c-a057-27972bee3344,can u please let us use the Pheonix emoji,2
6000c17c-fd63-4c68-b8db-ba114c6e63f9,SEND YOUR FEEDBACK HERE.(OPTIONAL).,5
4011d5a1-04f9-4d73-8459-435c5a8fd93b,Joss.,5
c8eedec7-08b4-408f-af2f-90e3781a09dc,Rapid +:dc|xbmeyw,1
5862980d-299b-44bb-bc54-37a241077e5d,Nice,5
29ef3ae8-e9e1-4f5b-820a-cfaa169710d9,Good,5
c7efb5a9-a791-420c-90a4-bb2a4a9e7b82,fun app and also the market place is cool to.,5
f4161401-d883-450f-a110-6bb0f9bdd3b2,love it,5
c9468653-33e3-403c-9c4c-1b4c599c2b26,🤲,1
ae03db96-c98b-4061-a7be-b8d35699197c,"My Aman Yadav Yadav Facebook account Is not login while i am trying again and again while I'm entering a new password They always says sorry something went wrong. So, please recover my account Aman Yadav Yadav. Please",4
e9597031-059d-4720-9fb9-b507f000d5a4,good 👍,5
563a6bfd-4841-4e91-83e1-f6969d6cd49d,Great,5
6172a975-d03f-4c36-a414-96ce25a1f16b,Good 😊👍,5
04147515-9fb2-4660-9e39-d1c959666208,Pls solve my profile monetization tool problem 😐,5
7554da8c-2eda-429e-8b8f-dfbe38fba52b,Good,5
e2fdca37-9ebf-4667-9f20-956652c82a03,Love their movies I always see the movies that they are on and my husband can get enough of it not even my kids we all love how they play in the movies keep doing what you got to do and keep up the good work God bless you both and the people that made the movies keep on making those movies for we could keep on seeing them God bless you and keep your head up all the time you guys are really doing great your mom raised you guys right take care of your family and God bless you,5
8a71058c-909b-4260-8055-c3bf971ea25e,Yo. Nose. Nadal,5
16485cab-60b1-48ef-ad7c-fc8e20f5b88e,Install already please ty.,4
d51b01cb-667e-4769-a66a-79b99342a894,انتي صعبانة عليا اوي يا تمارا,1
a21ce739-c8ca-4c27-937b-6e4b2444ec9c,My facebook is long time in problem,1
97f4ae10-c7de-4c55-89af-8bee08e2c264,okxa,3
26c2ead2-4975-4c37-942d-cfbe6b6e3760,our system in better than,1
4be57027-accf-42f2-be42-8be7341680f7,Alhamdulillah,5
11007b7e-7b4c-48e0-abf0-4aa0a6adf45a,yes nice,2
2f6b4992-9a2e-45db-a5ad-e3a10d63fc6b,osm pot,3
d791882b-0529-49ed-bf1b-325fbe616578,Ertx to,1
dbb1694f-ce96-41e6-8d22-ae4d9d7714a4,AAAu AAA L R ur u,5
92afdffb-1844-467f-8eb3-97a90a6a6c15,I love my Facebook good videos good programes videos,5
fccfb5e3-4230-49c0-badd-ab8f6da1a913,Abhishek Kumar Vijay Ram,5
d3d2be62-bd40-45a6-b94b-113c3f2f5df3,Fdgug,5
d43a8d3b-9901-44fe-94c4-e4c46bcf72d1,Its great and useful,3
ca25d199-5388-4276-85f3-fa081b1a84a8,🥳🥳🥳🥳,5
38f5aec4-a4c1-4515-b628-9901c709f0ec,"Aliur, rahman",3
56e0f466-b006-429b-a484-23c44694c251,Raju..Raju,3
87d0cd7b-b2bf-4cb3-8a19-abf241f0af45,very,5
0abe323f-0ef2-47f4-8930-dce8f017c6a7,অসাধারণ একটা এপস।,5
19290574-cb0e-46a2-a5db-3c7cd1e469f3,very beautiful app,2
763263b5-4d9b-45fd-bb55-93c9db4362a5,Facebook is the gold standard that all of the other apps aspire. The only problem is I have to put it down every few days because it can become too much.,5
fc72eb3c-2389-4b50-8789-9365c92fdb1c,It won't open,1
ab0dd45b-cb77-4751-9e49-7a72255c245b,good,5
ff8eb8b0-721e-4cc3-a37b-51447ccbcac9,Very good,5
685d85f1-a926-4804-895b-fb447e266374,very good,5
b7fecf23-cc3e-466e-b611-a7e55845ee27,👍,5
a11fef41-7ba2-41eb-a490-bd230e2b5f22,Ok thank u,5
5e82ea79-f085-4097-9cf3-ae21994bd5e1,nice,5
f5bcd2cd-6812-43f7-a1d5-6e4515e1d29f,it's Good app,4
f2ca492f-1a2f-43c9-99e4-3126fa3055d1,Best value best social experiment with Facebook,5
75f05058-9d38-4eb9-9314-e464b4ea0dd3,Best application for for socialising.,5
552adeea-ef22-4178-b8aa-8eec08fb66ac,nice,4
7ffdf5b1-7d1e-4ac0-a4a4-a70f81891d65,মামা হয়,5
2d2cb5ba-61c5-4beb-a60d-5a5b851e230a,"Facebook is very useful because you can reach all people you know from your young age, specially in your high school life and relatives...",5
22d6693f-bb04-4c40-9ee9-ae1de0c4c085,رأع,5
5fff77e1-52dd-4595-b1a9-753e3573d2ad,yes i am impressive,5
be3e5da4-ff04-4f57-b6c3-7b64b32a5ef7,❤️,5
35f5def8-a0e7-4993-a156-d1d4b66c0838,What a communication app,3
1c57b98c-63fc-4243-8dd9-47867f9bf4e7,very good,5
ccfd88ee-8577-4fb8-90cf-1e5255ec5e5b,Ohh,5
e6ed98f0-edc4-4a49-b02b-9ec5e3c51611,serene voice,5
2c95f1ee-689c-4cc9-a1bf-59bfc6380e45,Good,5
eb4a9926-9453-482b-bf88-93f81337d90c,Good .. .,5
819792f7-23fe-442b-b827-d454c4379188,not bad,2
1908fe62-c4ec-42ea-bb73-5f9404d7d794,chotuvi,1
45d0446e-bada-4c45-ab01-cfe0b165e2fd,Good,5
016d7efa-77f3-4e53-837b-c7949df6cf3b,Why am I seeing gambling or pokies ads every second post. It doesn't matter how many I block my Facebook is flooded with them.,1
0e272761-aae8-4745-a013-c9b8eb4f8e06,Rohit K,5
494e3723-51fc-4efa-aae8-011173c3ee32,Right now I am being scamed...different name. Why are these weird people doing thus?!?,5
e723493c-a42d-4ccb-8ae9-95731004dfeb,Can nnn .,1
13a5b6c1-5d32-4908-a47f-8feeea8d9174,I hate how it's showing me a damn survey and I can't get rid of it since I already did the survey,3
9e9e5610-bc5d-4b99-ba0b-1b6b866c224d,REAL LIFE ANTICHRIST .DONALD J.TRUMP,5
98527085-730b-4597-a7a6-b841ad1e2a16,"the platform is convenient to use, I love the new feature Facebook Dating💯",5
289ba028-b58d-4d37-ae7d-086cbeee8908,90% of my news feed is suggested posts and ads. The messenger button is broken. Scammers are rampant on marketplace. Reporting profiles and pages does absolutely nothing. FIX YOUR APP,1
ce8577ec-4b48-4c78-be17-bbb7564b47ca,♥️♥️♥️♥️♥️,5
31ba42e9-7ef9-42fa-8b35-4e740a3f26c0,ॉn k e,5
d6e94819-4eb1-45aa-9267-cd4bf71452ee,👍,5
4f5ad4e8-8dfc-4485-8cfd-d5440d7f5a97,convenient apps,4
4c6eed0a-696d-487d-baa7-b1295e74b7c8,"I am having trouble with reviews for buyers and sellers. I have had Facebook since 2007, so why am I having this issue now? Please fix it.",1
505c0f6b-d6e4-4206-b265-87cca506391a,निशा कुमारी,5
a5b2884b-9c4e-4194-ad4f-1a0ddcfe60ab,Is my happend this is very good aps,4
08230f54-8e3a-4a37-b19d-a1fadcdf6442,👋🤝☺️,5
39141f61-b483-44c4-ad1e-7ee52b2bd8b7,Yubihy t,3
ef70a66c-4245-4b22-9563-765d8863381a,Ok p Diddy on approval like to pick you and the,2
3204af21-636d-4c9b-9e81-c2f087f13802,Not showing friends you may know,3
7e90881f-f4b5-4f74-b11b-d18911a5b269,Good platform,5
9798bc82-f5b7-48a1-be6f-ef7c3f7f3b20,Always a great app,4
1e83ff15-720a-427d-8976-2ad30b4007a6,Good,5
efe096a0-4d62-44c2-9b7c-ab2096949cef,Jay Shree ram,5
d05e2f96-3e46-4098-b3d8-594fcaa86547,good,3
0304743e-c247-431e-ac4c-c9e4264fe79d,Everything you do on Facebook now makes you have to be careful or you get restricted for no reason. Facebook needs to update with how things go in the world nowadays. Makes me not want to use it anymore because it's like you can't do anything without Facebook being sensitive and it also acts up and messed up messenger too sometimes. It's annoying,2
464535d4-0b2f-4200-af63-1f5c5c03b23b,Facebook with message is very usefull,5
0a4e8eca-d23a-4819-b4c9-8375dd8b290f,Easy way to keep in touch with friends and family.,5
02846d30-9950-44ac-9580-74f5a88b5d30,Good,5
b68fe8fa-625c-4b1b-b837-be99d3d7f7c3,❤🌹,5
38379ab4-c3ba-4303-9c91-f956de336d7a,NANDHAND,5
0c119bf5-1a6d-4edf-a971-dd149171212f,singer Robin premi,5
50a01f55-35cc-457d-8048-31c25c91a73f,KYAW,4
c138c1f7-634f-4e47-8484-55759dd71fe3,Errrsssr,4
3aac8600-6cad-4faf-a4dd-a2492302cef0,good,5
c1d92481-aba1-4e98-995a-80befdc57993,everyone loves FB,5
ee7d5752-2452-4251-a364-cd973dfcf093,good,5
47379d5d-fb29-4408-9682-e1f2f19f04a6,This app is so useful,5
6f74e098-faba-4d6a-87b7-705799289542,I Want Out of Facebook but it's not letting me get OUtT,1
2269b650-6bf8-4b1b-9f33-ea96508ea752,garbage,1
7093eb81-44dc-4801-b2b0-22956515621d,too much sensory of free speech,1
7e0384f0-160f-4c68-91c8-db2c8adb8af3,Sunil,5
271673ba-2461-45bd-bec1-a320703b7eb5,👑👑,5
a80577e0-44a1-4e7b-bda1-1ef5db645fdc,💞,5
ff523b50-1520-444c-89f1-bd59871c323c,I dont get adds on reels 😪🤕😮‍💨...i eagerly wait for this,3
43b87038-6d06-4d47-8143-fe2bed9dc3ed,"Wonderful,except for the hackers.",2
a80e6974-ffcb-4ad7-bc82-e29822fc403b,♥️♥️♥️♥️,5
ecbd8d84-94c5-4e7c-8011-401f83c6448c,09Sy7C !7,3
c152367b-7c9c-4eef-86fd-67fc5d99e91c,Very 👍 Good.,5
5a4e571b-0ee8-4006-a9fa-024f9eafd770,super,5
550910b4-1357-4509-a0ce-c38ee211390c,it's an amazing app,5
a54084c8-e5e0-4644-8012-f38851e6b2db,Mera to facebook login nahi ho raha hai Mera to hack hogaya 😭😭😭😭😭😭,5
a17a20e6-9a14-4157-a68c-e8c749943be8,Facebook and Google suck. Update and still does not work,1
53b4f03e-d2df-4fab-ab09-998a46581333,بعشق الفيسبوك شابو,5
10532cea-f84f-46b2-8c2c-502cc8afe046,buteful,5
ab5d7c9f-f9b5-45da-876b-df2a79819fc2,good,5
45341842-32ff-4324-8159-3cb056d91606,gud,5
20eb7e73-131d-4743-b6cc-3ad4ba168dd4,"Q00,",3
f8f70b85-fd52-4a5e-b3a4-b414c69e7a7b,Worest App 😡 daily new issue,1
208e6d58-1bbd-4231-afbc-6fbe98307d5b,I Love Facebook Buz I'm Learning Everytime In This App,5
df7aab9d-0926-481f-8cb7-d26f055afe4c,Best Super Amizing,4
6bd9f673-bdb8-4f18-a979-ea832779f255,Needs so much improvements. Logs out itself and I have to re-login 4 to 5 times in a day. Video plays are the worst. they alway display like reels not videos making it unfortable,1
424cfdd9-5e90-47c7-ae63-86549186a1f1,Mahram,4
627f0c51-cd3b-4ab6-be6c-7fea76d4cb27,Thank you Mark Zuckerberg.. ✡️,5
f4c0a6e6-7942-4182-8dae-b8d39badc00a,"I do not like having to use the ""back"" arrow in the top left corner to go back. Back button on my phone or swiping back similar to iPhone should allow you to go back in my opinion.",1
f1aa5adc-70a4-42b8-81a9-8d71d8d32820,this is a good app,1
74ef0deb-9b7c-4377-99c2-e4014edf98a8,Help me,1
0240be36-a4e7-4f69-a8a1-8c750113ce5f,So A scammer sent me a message on messanger. I called them out and blocked them. 30 seconds later my account gets Disabled? what Gives Facebook.,1
99d95b3c-2a7d-4333-b087-b1718cd17fe4,truth,1
6aae3f4b-18af-422b-8fb6-9b18b10ded52,good,5
f6d3c786-a151-475f-a426-2bf125e7d9b1,"If this app didn't feel like Big Brother was watching everything I was doing, constantly putting me in time out because I shared a post that I got off the same app, I can see giving it a five for entertainment. But it can only get a three because I don't know many adults that enjoy feeling like a child because of a post. it's supposed to be fun",3
8714a6a8-ad84-4d4a-8dcd-ded32eb41885,good,5
cb1bf5ed-699c-47d6-a5c8-a1f12e2a4bd8,Good 👍,5
b5848026-93da-4715-9cd8-21d1ffe33598,So happy this app,5
78d21b2e-3d1f-44f5-9f45-fc2f628aa34f,Good,5
df2c0bc6-10a9-4d64-9448-6945d00e8883,Page isn't available all day,1
04aad1a8-a60c-4013-8ab2-d564debc4f71,Love seeing old friends 🥰🥰🥰🥰,5
9e5666f4-88db-4a43-9fae-79fae3f803cf,"Everything is changing and not for the better. Since the ""Reels"" came along,I've had nothing but a bad experience. I mainly use fb for videos and I usually can go back in my history if I had to leave for a sec and finish off. Now the video option is completely gone, you could get to it through the menu but now its gone. Half the reels won't load, and when an ad pops on you better pray the video doesn't mess up. If the video messes up you might see it again......someday.....maybe........HORRIBLEE",2
1e5cba07-cdef-4bc1-8f9e-74e6018fa116,A place full of frauds and scammers in the comments section. Most of them even come with suspicious links. How Facebook allows such comments without removing them but are quick to remove harmless comments from legitimate users is beyond my comprehension. Reporting the comments is useless too because they still don't get removed. Pathetic.,1
d0fb0b77-aecd-4d7c-b77d-511dff07d452,things most unexpected turn out to most beautiful,5
b6a8c829-fcf3-474a-8456-1acbe4df7301,Reels won't work. They skip to the next video in the app and messenger,1
be5174b9-1360-4c81-a5b5-8aded10b0a6a,video poblem,1
59d45057-c96b-4e5c-affa-177be3be1aa5,Fb 5 star...,5
83fa3a3f-9bf1-4278-9d90-ec3985c3bf4e,🌹,5
633d3552-2977-470e-897e-9a0fdc0cf189,"Why dont links work? It has been a nightmare of a month with Facebook. Just deleted the app and went to Google and links work but not on the app? That's a joke,right?",1
158f9330-34de-4cac-9245-8258bcd1f23f,💞,5
