reviewId,content,score
4a6e7224-cdf2-4ae2-900b-f4e3a3ae9095,"Full of bugs. Poor quality performance. Edit: still no update to fix the poor performance of the app. Ever since the encryption update, messenger becomes unreliable",1
63a544e8-5fef-4991-b498-38262f7c2b15,Red,5
3cf3e154-22e8-4ed5-ac76-859a48e80e65,"Remove the end to end encryption please, I want the old messenger app back, I can't even search a conversation like when I enter ""miss you"" it will show her messages. I MISS HER SO MUCH. I just wanna read all of her messages again. Unlike before, even though it's been 2 years since the last conversation ends, when you comeback to her profile and search the word, you can still see it. But now? I can't even see a single message if I searched it because our last convo ended 1 year ago.",3
a71f8a68-5029-4efe-a275-1c90c2e5ab4e,My messenger app I can't see online list please fix it,3
89740208-dde2-4274-a115-6f4b2fee34e1,Okay 👶,5
e5505899-d181-481c-b549-028ed32fdc49,Very useful and great,5
5787b8f3-ba23-4e46-bd1c-8ece6b5248b6,Always needed app,5
b7ec6d59-9683-4d0b-b635-08436613af4e,Ok,3
8f6a21ed-da3f-4087-8fd0-06f7fbf503e0,Don't work as should,1
e5b9aa30-69fd-4d73-ae1d-5a335431b550,poor Messenger,1
f50054e9-f5c7-480d-8fa8-bb96b06eb6d1,The End to end to encryption made Trust issues. If anyone change or lost their phone and log in new device they are not able to see the previous all massages. It is so disturbing for to me.,1
8333971f-abe5-489c-9c5d-2e9a28330961,good,5
54829284-2605-492a-be0a-2f7ace25e4ee,I lost the notes feature when I updated this app. And now I hardly see photos and videos even if I have strong internet connection.,1
d2aabd3f-1500-49e3-a67e-1fb0c7e554f9,মেসেঞ্জার ১২৩৪৫৫৪৩২১,4
34ed4f15-a0e2-4568-8006-e7175bd3e81c,Fix your messages being stuck on sending.,1
835b7f82-3966-476d-a402-504394214772,Ghulam server,5
2fc91c2e-abfc-44c8-bf1d-4fc6aa7cd5ce,Binura,5
4e52c0a9-608a-4f49-8d2e-99793cd8fa14,Very good,5
a7e55924-87d0-400a-ba06-ad98bf320178,You can't even send videos anymore because it says messenger doesn't support it anymore. This is BS and I'll be deleting it from my phone. Get this stuff fixed,1
824872b4-9f35-48cf-b77d-976fb2c81764,Remove the hold click on messenger to go change theme so anoying every time need re re read our conversation always pop out..,3
3a933981-7267-40a4-941f-e5057529b431,Good,5
a42e4ac1-d750-46e3-9266-b2dcae9e77b9,Worst app,1
89e29bac-ee02-44cd-bce0-02b00d2c0823,"the end to end encrypted sucks, can't see the important messages and it gets too long for sending pictures or video even i got a good connection wth",1
c27a6978-f5dd-443f-9909-7855a9dd1d26,Good,5
d9df17a2-be3e-4134-80c8-13fba2e92745,Can't upload images high resolution,1
eb0df928-6fce-4a1f-ad97-8d477a392ba2,UGHHH! EVERSINCE END TO END ENCRYPTION got added to messenger it became a mess!Just bring back old messenger!,1
d51575be-7141-42da-b3a5-5c91cf5d81da,Worst I can't open my account and Facebook this messenger is suck,1
